Category,Indicator,Variable,Units,Statistic,Scale
Indicator estimates: access (walking),"Number of 'primary healthcare' destinations, a sub-type of 'health care', reachable within 1000 m along the pedestrian network",sp_walk_count_health_care__primary_healthcare_1000m,count,value,sample point (walking)
Indicator estimates: access (walking),"Number of 'specialist clinic' destinations, a sub-type of 'health care', reachable within 500 m along the pedestrian network",sp_walk_count_health_care__specialist_clinic_500m,count,value,sample point (walking)
Indicator estimates: access (walking),"Number of 'specialist clinic' destinations, a sub-type of 'health care', reachable within 1000 m along the pedestrian network",sp_walk_count_health_care__specialist_clinic_1000m,count,value,sample point (walking)
Indicator estimates: access (walking),"Number of 'hospital' destinations, a sub-type of 'health care', reachable within 500 m along the pedestrian network",sp_walk_count_health_care__hospital_500m,count,value,sample point (walking)
Indicator estimates: access (walking),"Number of 'hospital' destinations, a sub-type of 'health care', reachable within 1000 m along the pedestrian network",sp_walk_count_health_care__hospital_1000m,count,value,sample point (walking)
Indicator estimates: access (walking),"Number of 'pharmacy' destinations, a sub-type of 'health care', reachable within 500 m along the pedestrian network",sp_walk_count_health_care__pharmacy_500m,count,value,sample point (walking)
Indicator estimates: access (walking),"Number of 'pharmacy' destinations, a sub-type of 'health care', reachable within 1000 m along the pedestrian network",sp_walk_count_health_care__pharmacy_1000m,count,value,sample point (walking)
Indicator estimates: access (walking),"Number of 'care support' destinations, a sub-type of 'health care', reachable within 500 m along the pedestrian network",sp_walk_count_health_care__care_support_500m,count,value,sample point (walking)
Indicator estimates: access (walking),"Number of 'care support' destinations, a sub-type of 'health care', reachable within 1000 m along the pedestrian network",sp_walk_count_health_care__care_support_1000m,count,value,sample point (walking)
Indicator estimates: access (walking),"Number of 'community' destinations, a sub-type of 'community culture recreation', reachable within 500 m along the pedestrian network",sp_walk_count_community_culture_recreation__community_500m,count,value,sample point (walking)
Indicator estimates: access (walking),"Number of 'community' destinations, a sub-type of 'community culture recreation', reachable within 1000 m along the pedestrian network",sp_walk_count_community_culture_recreation__community_1000m,count,value,sample point (walking)
Indicator estimates: access (walking),"Number of 'culture' destinations, a sub-type of 'community culture recreation', reachable within 500 m along the pedestrian network",sp_walk_count_community_culture_recreation__culture_500m,count,value,sample point (walking)
Indicator estimates: access (walking),"Number of 'culture' destinations, a sub-type of 'community culture recreation', reachable within 1000 m along the pedestrian network",sp_walk_count_community_culture_recreation__culture_1000m,count,value,sample point (walking)
Indicator estimates: access (walking),"Number of 'sport' destinations, a sub-type of 'community culture recreation', reachable within 500 m along the pedestrian network",sp_walk_count_community_culture_recreation__sport_500m,count,value,sample point (walking)
Indicator estimates: access (walking),"Number of 'sport' destinations, a sub-type of 'community culture recreation', reachable within 1000 m along the pedestrian network",sp_walk_count_community_culture_recreation__sport_1000m,count,value,sample point (walking)
Indicator estimates: access (walking),"Number of 'recreation' destinations, a sub-type of 'community culture recreation', reachable within 500 m along the pedestrian network",sp_walk_count_community_culture_recreation__recreation_500m,count,value,sample point (walking)
Indicator estimates: access (walking),"Number of 'recreation' destinations, a sub-type of 'community culture recreation', reachable within 1000 m along the pedestrian network",sp_walk_count_community_culture_recreation__recreation_1000m,count,value,sample point (walking)
Indicator estimates: access (walking),"Score (0/1): the nearest 'denue petrol station' (custom destination) is further than 250 m along the pedestrian network (or absent within the largest distance band); proximity to this destination is a disamenity, so higher is better",sp_walk_beyond_denue_petrol_station_250m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): a fresh food market / supermarket (source: OpenStreetMap or custom data) is reachable within 500 m along the pedestrian network,sp_walk_access_fresh_food_market_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),"Score (0/1): a fresh food market, supermarket or convenience store (pooled fresh food destinations) is reachable within 500 m along the pedestrian network",sp_walk_access_fresh_food_pooled_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): a public open space larger than 1.5 hectares (source: OpenStreetMap) is reachable within 500 m along the pedestrian network,sp_walk_access_public_open_space_large_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): any public open space (source: OpenStreetMap) is reachable within 500 m along the pedestrian network,sp_walk_access_public_open_space_any_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),"Score (0/1): a natural blue space -- a river, canal, drain, lake, reservoir, wetland, beach or coast (source: OpenStreetMap or custom data) is reachable within 500 m along the pedestrian network",sp_walk_access_blue_space_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),"Score (0/1): a public open space containing water, such as a park with a lake (source: OpenStreetMap) is reachable within 500 m along the pedestrian network",sp_walk_access_public_open_space_with_water_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): any public transport stop (best result of GTFS and OpenStreetMap/custom sources) is reachable within 500 m along the pedestrian network,sp_walk_access_pt_any_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue fresh food' (custom destination) is reachable within 500 m along the pedestrian network,sp_walk_access_denue_fresh_food_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue food retail' (custom destination) is reachable within 500 m along the pedestrian network,sp_walk_access_denue_food_retail_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue bakery tortilleria' (custom destination) is reachable within 500 m along the pedestrian network,sp_walk_access_denue_bakery_tortilleria_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue household goods' (custom destination) is reachable within 500 m along the pedestrian network,sp_walk_access_denue_household_goods_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue pharmacy' (custom destination) is reachable within 500 m along the pedestrian network,sp_walk_access_denue_pharmacy_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue finance comms' (custom destination) is reachable within 500 m along the pedestrian network,sp_walk_access_denue_finance_comms_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue preschool' (custom destination) is reachable within 500 m along the pedestrian network,sp_walk_access_denue_preschool_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue primary school' (custom destination) is reachable within 500 m along the pedestrian network,sp_walk_access_denue_primary_school_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue secondary school' (custom destination) is reachable within 500 m along the pedestrian network,sp_walk_access_denue_secondary_school_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue tertiary education' (custom destination) is reachable within 500 m along the pedestrian network,sp_walk_access_denue_tertiary_education_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue primary healthcare' (custom destination) is reachable within 500 m along the pedestrian network,sp_walk_access_denue_primary_healthcare_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue medical clinic' (custom destination) is reachable within 500 m along the pedestrian network,sp_walk_access_denue_medical_clinic_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue hospital' (custom destination) is reachable within 500 m along the pedestrian network,sp_walk_access_denue_hospital_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue care support' (custom destination) is reachable within 500 m along the pedestrian network,sp_walk_access_denue_care_support_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue childcare' (custom destination) is reachable within 500 m along the pedestrian network,sp_walk_access_denue_childcare_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue community' (custom destination) is reachable within 500 m along the pedestrian network,sp_walk_access_denue_community_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue culture' (custom destination) is reachable within 500 m along the pedestrian network,sp_walk_access_denue_culture_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue sport' (custom destination) is reachable within 500 m along the pedestrian network,sp_walk_access_denue_sport_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue recreation' (custom destination) is reachable within 500 m along the pedestrian network,sp_walk_access_denue_recreation_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue employment any' (custom destination) is reachable within 500 m along the pedestrian network,sp_walk_access_denue_employment_any_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue employer medium' (custom destination) is reachable within 500 m along the pedestrian network,sp_walk_access_denue_employer_medium_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue manufacturing' (custom destination) is reachable within 500 m along the pedestrian network,sp_walk_access_denue_manufacturing_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): an activity centre of the 'essentials' definition ('local' tier): a network location whose walkable catchment contains at least one destination of each required category is reachable within 500 m along the pedestrian network,sp_walk_access_activity_centre_essentials_local_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): an activity centre of the 'essentials' definition ('complete' tier): a network location whose walkable catchment contains at least one destination of each required category is reachable within 500 m along the pedestrian network,sp_walk_access_activity_centre_essentials_complete_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): an activity centre of the 'health' definition ('all' tier): a network location whose walkable catchment contains at least one destination of each required category is reachable within 500 m along the pedestrian network,sp_walk_access_activity_centre_health_all_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): an activity centre of the 'civic' definition ('all' tier): a network location whose walkable catchment contains at least one destination of each required category is reachable within 500 m along the pedestrian network,sp_walk_access_activity_centre_civic_all_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): an activity centre of the 'jobs' definition ('local' tier): a network location whose walkable catchment contains at least one destination of each required category is reachable within 500 m along the pedestrian network,sp_walk_access_activity_centre_jobs_local_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): an activity centre of the 'jobs' definition ('complete' tier): a network location whose walkable catchment contains at least one destination of each required category is reachable within 500 m along the pedestrian network,sp_walk_access_activity_centre_jobs_complete_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): an activity centre of the 'services' definition ('local' tier): a network location whose walkable catchment contains at least one destination of each required category is reachable within 500 m along the pedestrian network,sp_walk_access_activity_centre_services_local_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): an activity centre of the 'services' definition ('complete' tier): a network location whose walkable catchment contains at least one destination of each required category is reachable within 500 m along the pedestrian network,sp_walk_access_activity_centre_services_complete_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): a fresh food market / supermarket (source: OpenStreetMap or custom data) is reachable within 1000 m along the pedestrian network,sp_walk_access_fresh_food_market_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),"Score (0/1): a fresh food market, supermarket or convenience store (pooled fresh food destinations) is reachable within 1000 m along the pedestrian network",sp_walk_access_fresh_food_pooled_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): a public open space larger than 1.5 hectares (source: OpenStreetMap) is reachable within 1000 m along the pedestrian network,sp_walk_access_public_open_space_large_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): any public open space (source: OpenStreetMap) is reachable within 1000 m along the pedestrian network,sp_walk_access_public_open_space_any_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),"Score (0/1): a natural blue space -- a river, canal, drain, lake, reservoir, wetland, beach or coast (source: OpenStreetMap or custom data) is reachable within 1000 m along the pedestrian network",sp_walk_access_blue_space_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),"Score (0/1): a public open space containing water, such as a park with a lake (source: OpenStreetMap) is reachable within 1000 m along the pedestrian network",sp_walk_access_public_open_space_with_water_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): any public transport stop (best result of GTFS and OpenStreetMap/custom sources) is reachable within 1000 m along the pedestrian network,sp_walk_access_pt_any_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue fresh food' (custom destination) is reachable within 1000 m along the pedestrian network,sp_walk_access_denue_fresh_food_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue food retail' (custom destination) is reachable within 1000 m along the pedestrian network,sp_walk_access_denue_food_retail_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue bakery tortilleria' (custom destination) is reachable within 1000 m along the pedestrian network,sp_walk_access_denue_bakery_tortilleria_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue household goods' (custom destination) is reachable within 1000 m along the pedestrian network,sp_walk_access_denue_household_goods_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue pharmacy' (custom destination) is reachable within 1000 m along the pedestrian network,sp_walk_access_denue_pharmacy_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue finance comms' (custom destination) is reachable within 1000 m along the pedestrian network,sp_walk_access_denue_finance_comms_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue preschool' (custom destination) is reachable within 1000 m along the pedestrian network,sp_walk_access_denue_preschool_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue primary school' (custom destination) is reachable within 1000 m along the pedestrian network,sp_walk_access_denue_primary_school_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue secondary school' (custom destination) is reachable within 1000 m along the pedestrian network,sp_walk_access_denue_secondary_school_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue tertiary education' (custom destination) is reachable within 1000 m along the pedestrian network,sp_walk_access_denue_tertiary_education_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue primary healthcare' (custom destination) is reachable within 1000 m along the pedestrian network,sp_walk_access_denue_primary_healthcare_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue medical clinic' (custom destination) is reachable within 1000 m along the pedestrian network,sp_walk_access_denue_medical_clinic_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue hospital' (custom destination) is reachable within 1000 m along the pedestrian network,sp_walk_access_denue_hospital_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue care support' (custom destination) is reachable within 1000 m along the pedestrian network,sp_walk_access_denue_care_support_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue childcare' (custom destination) is reachable within 1000 m along the pedestrian network,sp_walk_access_denue_childcare_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue community' (custom destination) is reachable within 1000 m along the pedestrian network,sp_walk_access_denue_community_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue culture' (custom destination) is reachable within 1000 m along the pedestrian network,sp_walk_access_denue_culture_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue sport' (custom destination) is reachable within 1000 m along the pedestrian network,sp_walk_access_denue_sport_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue recreation' (custom destination) is reachable within 1000 m along the pedestrian network,sp_walk_access_denue_recreation_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue employment any' (custom destination) is reachable within 1000 m along the pedestrian network,sp_walk_access_denue_employment_any_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue employer medium' (custom destination) is reachable within 1000 m along the pedestrian network,sp_walk_access_denue_employer_medium_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue manufacturing' (custom destination) is reachable within 1000 m along the pedestrian network,sp_walk_access_denue_manufacturing_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): an activity centre of the 'essentials' definition ('local' tier): a network location whose walkable catchment contains at least one destination of each required category is reachable within 1000 m along the pedestrian network,sp_walk_access_activity_centre_essentials_local_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): an activity centre of the 'essentials' definition ('complete' tier): a network location whose walkable catchment contains at least one destination of each required category is reachable within 1000 m along the pedestrian network,sp_walk_access_activity_centre_essentials_complete_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): an activity centre of the 'health' definition ('all' tier): a network location whose walkable catchment contains at least one destination of each required category is reachable within 1000 m along the pedestrian network,sp_walk_access_activity_centre_health_all_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): an activity centre of the 'civic' definition ('all' tier): a network location whose walkable catchment contains at least one destination of each required category is reachable within 1000 m along the pedestrian network,sp_walk_access_activity_centre_civic_all_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): an activity centre of the 'jobs' definition ('local' tier): a network location whose walkable catchment contains at least one destination of each required category is reachable within 1000 m along the pedestrian network,sp_walk_access_activity_centre_jobs_local_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): an activity centre of the 'jobs' definition ('complete' tier): a network location whose walkable catchment contains at least one destination of each required category is reachable within 1000 m along the pedestrian network,sp_walk_access_activity_centre_jobs_complete_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): an activity centre of the 'services' definition ('local' tier): a network location whose walkable catchment contains at least one destination of each required category is reachable within 1000 m along the pedestrian network,sp_walk_access_activity_centre_services_local_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): an activity centre of the 'services' definition ('complete' tier): a network location whose walkable catchment contains at least one destination of each required category is reachable within 1000 m along the pedestrian network,sp_walk_access_activity_centre_services_complete_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): a fresh food market / supermarket (source: OpenStreetMap or custom data) is reachable within 1500 m along the pedestrian network,sp_walk_access_fresh_food_market_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),"Score (0/1): a fresh food market, supermarket or convenience store (pooled fresh food destinations) is reachable within 1500 m along the pedestrian network",sp_walk_access_fresh_food_pooled_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): a public open space larger than 1.5 hectares (source: OpenStreetMap) is reachable within 1500 m along the pedestrian network,sp_walk_access_public_open_space_large_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): any public open space (source: OpenStreetMap) is reachable within 1500 m along the pedestrian network,sp_walk_access_public_open_space_any_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),"Score (0/1): a natural blue space -- a river, canal, drain, lake, reservoir, wetland, beach or coast (source: OpenStreetMap or custom data) is reachable within 1500 m along the pedestrian network",sp_walk_access_blue_space_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),"Score (0/1): a public open space containing water, such as a park with a lake (source: OpenStreetMap) is reachable within 1500 m along the pedestrian network",sp_walk_access_public_open_space_with_water_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): any public transport stop (best result of GTFS and OpenStreetMap/custom sources) is reachable within 1500 m along the pedestrian network,sp_walk_access_pt_any_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue fresh food' (custom destination) is reachable within 1500 m along the pedestrian network,sp_walk_access_denue_fresh_food_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue food retail' (custom destination) is reachable within 1500 m along the pedestrian network,sp_walk_access_denue_food_retail_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue bakery tortilleria' (custom destination) is reachable within 1500 m along the pedestrian network,sp_walk_access_denue_bakery_tortilleria_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue household goods' (custom destination) is reachable within 1500 m along the pedestrian network,sp_walk_access_denue_household_goods_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue pharmacy' (custom destination) is reachable within 1500 m along the pedestrian network,sp_walk_access_denue_pharmacy_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue finance comms' (custom destination) is reachable within 1500 m along the pedestrian network,sp_walk_access_denue_finance_comms_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue preschool' (custom destination) is reachable within 1500 m along the pedestrian network,sp_walk_access_denue_preschool_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue primary school' (custom destination) is reachable within 1500 m along the pedestrian network,sp_walk_access_denue_primary_school_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue secondary school' (custom destination) is reachable within 1500 m along the pedestrian network,sp_walk_access_denue_secondary_school_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue tertiary education' (custom destination) is reachable within 1500 m along the pedestrian network,sp_walk_access_denue_tertiary_education_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue primary healthcare' (custom destination) is reachable within 1500 m along the pedestrian network,sp_walk_access_denue_primary_healthcare_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue medical clinic' (custom destination) is reachable within 1500 m along the pedestrian network,sp_walk_access_denue_medical_clinic_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue hospital' (custom destination) is reachable within 1500 m along the pedestrian network,sp_walk_access_denue_hospital_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue care support' (custom destination) is reachable within 1500 m along the pedestrian network,sp_walk_access_denue_care_support_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue childcare' (custom destination) is reachable within 1500 m along the pedestrian network,sp_walk_access_denue_childcare_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue community' (custom destination) is reachable within 1500 m along the pedestrian network,sp_walk_access_denue_community_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue culture' (custom destination) is reachable within 1500 m along the pedestrian network,sp_walk_access_denue_culture_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue sport' (custom destination) is reachable within 1500 m along the pedestrian network,sp_walk_access_denue_sport_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue recreation' (custom destination) is reachable within 1500 m along the pedestrian network,sp_walk_access_denue_recreation_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue employment any' (custom destination) is reachable within 1500 m along the pedestrian network,sp_walk_access_denue_employment_any_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue employer medium' (custom destination) is reachable within 1500 m along the pedestrian network,sp_walk_access_denue_employer_medium_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): 'denue manufacturing' (custom destination) is reachable within 1500 m along the pedestrian network,sp_walk_access_denue_manufacturing_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): an activity centre of the 'essentials' definition ('local' tier): a network location whose walkable catchment contains at least one destination of each required category is reachable within 1500 m along the pedestrian network,sp_walk_access_activity_centre_essentials_local_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): an activity centre of the 'essentials' definition ('complete' tier): a network location whose walkable catchment contains at least one destination of each required category is reachable within 1500 m along the pedestrian network,sp_walk_access_activity_centre_essentials_complete_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): an activity centre of the 'health' definition ('all' tier): a network location whose walkable catchment contains at least one destination of each required category is reachable within 1500 m along the pedestrian network,sp_walk_access_activity_centre_health_all_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): an activity centre of the 'civic' definition ('all' tier): a network location whose walkable catchment contains at least one destination of each required category is reachable within 1500 m along the pedestrian network,sp_walk_access_activity_centre_civic_all_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): an activity centre of the 'jobs' definition ('local' tier): a network location whose walkable catchment contains at least one destination of each required category is reachable within 1500 m along the pedestrian network,sp_walk_access_activity_centre_jobs_local_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): an activity centre of the 'jobs' definition ('complete' tier): a network location whose walkable catchment contains at least one destination of each required category is reachable within 1500 m along the pedestrian network,sp_walk_access_activity_centre_jobs_complete_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): an activity centre of the 'services' definition ('local' tier): a network location whose walkable catchment contains at least one destination of each required category is reachable within 1500 m along the pedestrian network,sp_walk_access_activity_centre_services_local_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): an activity centre of the 'services' definition ('complete' tier): a network location whose walkable catchment contains at least one destination of each required category is reachable within 1500 m along the pedestrian network,sp_walk_access_activity_centre_services_complete_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),"Score (0/1): all core destination categories at their strict variant (fresh food market, large public open space, frequent public transport) is reachable within 500 m along the pedestrian network",sp_walk_access_all_strict_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),"Score (0/1): all core destination categories at their strict variant (fresh food market, large public open space, frequent public transport) is reachable within 1000 m along the pedestrian network",sp_walk_access_all_strict_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),"Score (0/1): all core destination categories at their strict variant (fresh food market, large public open space, frequent public transport) is reachable within 1500 m along the pedestrian network",sp_walk_access_all_strict_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),"Score (0/1): all core destination categories at their lenient variant (pooled fresh food, any public open space, any public transport) is reachable within 500 m along the pedestrian network",sp_walk_access_all_lenient_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),"Score (0/1): all core destination categories at their lenient variant (pooled fresh food, any public open space, any public transport) is reachable within 1000 m along the pedestrian network",sp_walk_access_all_lenient_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),"Score (0/1): all core destination categories at their lenient variant (pooled fresh food, any public open space, any public transport) is reachable within 1500 m along the pedestrian network",sp_walk_access_all_lenient_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): all destination categories of the 'essentials' combined-access set (strict variants) is reachable within 500 m along the pedestrian network,sp_walk_access_all_essentials_strict_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): all destination categories of the 'essentials' combined-access set (strict variants) is reachable within 1000 m along the pedestrian network,sp_walk_access_all_essentials_strict_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): all destination categories of the 'essentials' combined-access set (strict variants) is reachable within 1500 m along the pedestrian network,sp_walk_access_all_essentials_strict_1500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): all destination categories of the 'essentials' combined-access set (lenient variants) is reachable within 500 m along the pedestrian network,sp_walk_access_all_essentials_lenient_500m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): all destination categories of the 'essentials' combined-access set (lenient variants) is reachable within 1000 m along the pedestrian network,sp_walk_access_all_essentials_lenient_1000m,score 0-1,value,sample point (walking)
Indicator estimates: access (walking),Score (0/1): all destination categories of the 'essentials' combined-access set (lenient variants) is reachable within 1500 m along the pedestrian network,sp_walk_access_all_essentials_lenient_1500m,score 0-1,value,sample point (walking)
